symbol,high,close,tolerance,updated
ASTEC,945.15,945.15,15,2020-07-22
BANDHANBNK,342.5,342.5,12,2020-07-22
BHARATRAS,9112.5,9112.5,12,2020-07-22
BHARTIARTL,562.75,562.75,15,2020-07-22
BHEL,36.8,36.8,12,2020-07-22
CUMMINSIND,380.25,380.25,12,2020-07-22
HDFCBANK,1053.15,1053.15,12,2020-07-22
HEROMOTOCO,2648.05,2648.05,12,2020-07-22
HINDPETRO,202.65,202.65,12,2020-07-22
HINDZINC,182.8,182.8,15,2020-07-22
INDUSINDBK,503.55,503.55,12,2020-07-22
INFY,830.95,830.95,12,2020-07-22
IRCTC,1351.95,1351.95,10,2020-07-22
ITC,192.25,192.25,12,2020-07-22
KOTAKGOLD,429.6,429.6,7,2020-07-22
LICNETFGSC,21.69,21.69,5,2020-07-22
N100,781.75,781.75,10,2020-07-22
NAUKRI,3036.65,3036.65,10,2020-07-22
NETFLTGILT,21.94,21.94,5,2020-07-22
NIFTYBEES,112.97,112.97,10,2020-07-22
NTPC,86.75,86.75,15,2020-07-22
PETRONET,255.55,254.7,15,2020-07-22
QUESS,328.65,328.65,10,2020-07-22
RELIANCE,1843.4,1843.4,12,2020-07-22
SYNGENE,403.5,403.5,10,2020-07-22
VBL,682.05,682.05,10,2020-07-22
VEDL,108.1,108.1,15,2020-07-22
